Model,AUROC_low,AUROC_mid,AUROC_high,AUPRC_low,AUPRC_high,CI_method
Logistic Regression,0.725691542658124,0.728416646392032,0.73114175012594,0.329234239644196,0.338386314584667,"AUROC DeLong; AUPRC nonparametric bootstrap, 200 replicates"
XGBoost,0.701993602767269,0.705204915511163,0.708416228255057,0.365200797422294,0.374770065922556,"AUROC DeLong; AUPRC nonparametric bootstrap, 200 replicates"
LightGBM,0.704526627724713,0.707706167398818,0.710885707072923,0.366052643250355,0.375461747428191,"AUROC DeLong; AUPRC nonparametric bootstrap, 200 replicates"
Random Forest,0.720625625724904,0.723444297316372,0.726262968907839,0.361436323982316,0.370003450981213,"AUROC DeLong; AUPRC nonparametric bootstrap, 200 replicates"
