Model,Dataset,AUROC,AUPRC,Sensitivity,Specificity,PPV,NPV,F1,Threshold,Brier,Calibration_Intercept,Calibration_Slope,Expected_Observed
Logistic Regression,test_uncalibrated,0.728416646392024,0.334157178811094,0.573983821534442,0.748342475367478,0.262521112681397,0.918401324210141,0.360267740994489,0.127396820068324,0.104775409399731,,,
XGBoost,test_uncalibrated,0.70520491551117,0.37042450615918,0.642566447269256,0.700304647342275,0.250727834142038,0.926218626840904,0.360708216695694,0.43376998603344,0.174406395477923,,,
LightGBM,test_uncalibrated,0.707706167398852,0.371149595483266,0.606642214741496,0.743006245858639,0.269226481147011,0.923679451747652,0.372942084942085,0.464410355583253,0.174678155937666,,,
Random Forest,test_uncalibrated,0.723444297316373,0.365981745622175,0.613199015223836,0.713360962011221,0.25030764182288,0.921976902690295,0.355500211182476,0.389765992540863,0.146957442613264,,,
Logistic Regression,test_validation_calibrated,0.728416646392024,0.334157178811094,0.573983821534442,0.748342475367478,0.262521112681397,0.918401324210141,0.360267740994489,0.12554318598011,0.104706868966824,-0.113942558569672,0.872598978301637,0.921179464994297
XGBoost,test_validation_calibrated,0.70520491551117,0.37042450615918,0.642566447269256,0.700304647342275,0.250727834142038,0.926218626840904,0.360708216695694,0.128625763981256,0.103450359262878,-0.726847492043327,0.538659884272417,0.968455632924343
LightGBM,test_validation_calibrated,0.707706167398852,0.371149595483266,0.606642214741496,0.743006245858639,0.269226481147011,0.923679451747652,0.372942084942085,0.14196077539434,0.103317511415117,-0.663105267135872,0.574830879730231,0.969847695398052
Random Forest,test_validation_calibrated,0.723444297316373,0.365981745622175,0.613199015223836,0.713360962011221,0.25030764182288,0.921976902690295,0.355500211182476,0.140330178868393,0.103259637390075,-0.349240175319627,0.764586272816576,0.974716423038853
